quiver exchange matrix,mutation acyclic,mutation abundant,mutation complete,mutation connected,mutation equivalent to a quiver with a mutation-cyclic 3-vertex subquiver,mutation finite,finite forkless part,finite preforkless part,surface quiver,mutation equivalent to a quiver with a vortex subquiver,totally proper,Alexander polynomial,number of vertices,determinant of exchange matrix,gcd vector,rank of exchange matrix,determinant of companion modulo 4,mutation cycle in class,minimum number of arrows in class,class index
[0 -2 -2 -2 2 0 -2 -2 2 2 0 -2 2 2 2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,0
[0 -2 -2 2 2 0 -2 2 2 2 0 2 -2 -2 -2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,0
[0 -2 2 2 2 0 2 2 -2 -2 0 -2 -2 -2 2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,0
[0 2 2 2 -2 0 -2 -2 -2 2 0 -2 -2 2 2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,0
[0 -2 -4 2 2 0 -4 2 4 4 0 -1 -2 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 -2 -2 2 0 -2 -2 2 2 0 -1 2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 -2 -2 2 0 -2 -2 2 2 0 1 2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 -2 2 2 0 -2 2 2 2 0 1 -2 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 -2 4 2 0 -2 4 2 2 0 -1 -4 -4 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 2 -4 2 0 2 -4 -2 -2 0 1 4 4 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 2 -2 2 0 2 -2 -2 -2 0 -1 2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 2 2 2 0 2 2 -2 -2 0 -1 -2 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 2 2 2 0 2 2 -2 -2 0 1 -2 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 4 -2 2 0 4 -2 -4 -4 0 1 2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 2 2 2 -2 0 -2 -2 -2 2 0 -1 -2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 2 2 2 -2 0 -2 -2 -2 2 0 1 -2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 6 -2 2 -6 0 2 -4 2 -2 0 1 -2 4 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 6 -2 4 -6 0 2 -2 2 -2 0 -1 -4 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 6 2 -2 -6 0 -4 2 -2 4 0 -1 2 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 6 4 -2 -6 0 -2 2 -4 2 0 1 2 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 14 -4 2 -14 0 2 2 4 -2 0 -1 -2 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 14 -2 -2 -14 0 -2 4 2 2 0 -1 2 -4 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 14 -2 -2 -14 0 4 -2 2 -4 0 1 2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 14 2 -4 -14 0 2 2 -2 -2 0 1 4 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 49 -96 49 1],4,4,[2 2 1 1],4,0,T,15,1
[0 -2 -2 -2 2 0 -2 -2 2 2 0 0 2 2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 -2 -2 2 2 0 -2 2 2 2 0 0 -2 -2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 -2 2 -2 2 0 2 -2 -2 -2 0 0 2 2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 -2 2 2 2 0 2 2 -2 -2 0 0 -2 -2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 2 2 2 -2 0 -2 -2 -2 2 0 0 -2 2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 6 -2 2 -6 0 2 -2 2 -2 0 0 -2 2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 6 2 -2 -6 0 -2 2 -2 2 0 0 2 -2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 10 -2 -2 -10 0 2 2 2 -2 0 0 2 -2 0 0],T,F,F,T,F,F,F,T,F,F,T,[1 32 -66 32 1],4,0,[2 2 2 2],2,0,T,10,2
[0 -2 -2 -2 2 0 -2 -2 2 2 0 2 2 2 -2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,3
[0 -2 2 -2 2 0 2 -2 -2 -2 0 -2 2 2 2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,3
[0 -2 2 2 2 0 2 2 -2 -2 0 2 -2 -2 -2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,3
[0 2 2 2 -2 0 -2 -2 -2 2 0 2 -2 2 -2 0],T,T,F,T,F,F,T,T,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,3
[0 -4 -6 2 4 0 2 -1 6 -2 0 -2 -2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -4 6 2 4 0 2 -1 -6 -2 0 4 -2 1 -4 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -2 -6 4 2 0 4 -1 6 -4 0 2 -4 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -2 -2 -2 2 0 -2 -1 2 2 0 -2 2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -2 -2 -2 2 0 2 1 2 -2 0 2 2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -2 -2 2 2 0 -2 1 2 2 0 2 -2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -2 2 2 2 0 2 1 -2 -2 0 -2 -2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
[0 -2 6 -2 2 0 -2 1 -6 2 0 -4 2 -1 4 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,4
